 t2m ,df
 0   ,1
 0.01 ,1.000020278
 0.02 ,1.00007218
 0.08 ,1.000316643
 0.17 ,1.000583077
 0.26 ,1.000828204
 0.51 ,1.001306522
 0.76 ,1.00224694
 1.02 ,1.002820943
 2.03 ,1.005243254
 3.05 ,1.007296397
 4.06 ,1.006967655
 5.08 ,1.005262111
 6.09 ,1.001477328
 7.10 ,0.996115418
 8.12 ,0.988731058
 9.14 ,0.979647113
 10.15 ,0.969000433
 11.16 ,0.958974932
 12.18 ,0.947775626
 13.19 ,0.935440535
 14.21 ,0.921857564
 15.22 ,0.907314373
 16.23 ,0.896499292
 17.25 ,0.885152016
 18.26 ,0.873335074
 19.28 ,0.860987994
 20.30 ,0.848098607
 21.31 ,0.83983737
 22.32 ,0.831464706
 23.34 ,0.82302804
 24.35 ,0.814539292
 25.37 ,0.805926166
 26.38 ,0.797336461
 27.39 ,0.78869333
 28.41 ,0.77997535
 29.43 ,0.771219396
 30.44 ,0.762401532
 31.46 ,0.755868677
 32.47 ,0.74947313
 33.48 ,0.743142165
 34.50 ,0.736858283
 35.51 ,0.730636598
 36.53 ,0.724479983
 37.54 ,0.718369107
 38.56 ,0.712352507
 39.57 ,0.706380306
 40.58 ,0.700468516
 41.60 ,0.695007713
 42.62 ,0.689595005
 43.63 ,0.68429489
 44.64 ,0.679063941
 45.66 ,0.673887134
 46.67 ,0.668774347
 47.69 ,0.663734351
 48.71 ,0.65873354
 49.72 ,0.653850049
 50.73 ,0.649004138
